chart_week,rank,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity,source
2024-01-04,94,The Killers,Mr. Brightside,94,-1,119,9948722,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,,False,91.0,alternative rock,8185674.0,80.0,
2024-01-04,121,"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",Maria Mariah,121,-1,1,9136965,00rxTS5TKv3oXpDA6nWfBi,,,,,unknown,,,
2024-01-04,42,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),3,82,14,13730828,01qFKNWq73UfEslI0GvumE,6HaGTQPmzraVmaVxvz6EUc,2023-10-02,True,76.0,k-pop,19089134.0,82.0,
2024-01-04,10,"Peso Pluma, Anitta",BELLAKEO,10,35,4,21934979,05WVKTdZhlIMX4qqMLuo0f,12GqGscKJx3aE4t07u7eVZ,2023-12-07,True,72.0,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25292382.0,92.0,
2024-01-04,193,Wham!,Last Christmas - Single Version,2,2,51,7914063,06qMRF18gwbOYYbnP2du6i,,,,,unknown,,,
2024-01-04,127,Arctic Monkeys,Why'd You Only Call Me When You're High?,95,-1,108,9098252,086myS9r57YsLbJpU0TgK9,7Ln80lUS6He07XvHI8qqHH,2013-09-09,False,86.0,indie|garage rock,33000653.0,87.0,
2024-01-04,156,Bruno Mars,When I Was Your Man,72,-1,70,8492900,0B7wvvmu9EISAwZnOpjhNI,,,,,unknown,,,
2024-01-04,190,"KAROL G, Shakira",TQG,1,-1,43,7950655,0DWdj2oZMBFSzRsi2Cvfzf,790FomKkXshlbRYZFtlgla,2023-02-24,True,82.0,reggaeton|latin|urbano latino,62131863.0,89.0,
2024-01-04,191,ABBA,Dancing Queen,191,-1,1,7947485,0GjEhVFGZW8afUYGChu3Rr,0LcJLqbBmaGUft1e9Mm8HV,,False,86.0,unknown,15387961.0,84.0,
2024-01-04,166,Miguel,Sure Thing,14,-1,55,8362580,0JXXNGljqupsJaZsgSbMZV,360IAlyVv4PCEVjgyMZrxK,2010-11-30,False,87.0,r&b,6319490.0,81.0,
2024-01-04,115,Kali Uchis,Moonlight,37,193,43,9239202,0JmnkIqdlnUzPaf8sqBRs3,1U1el3k54VvEUzo3ybLPlM,2023-03-03,False,81.0,unknown,9864171.0,86.0,
2024-01-04,47,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,47,88,22,13297023,0O3U5iwTbiXCREMkvotJuN,,,,,unknown,,,
2024-01-04,2,Xavi,La Diabla,2,17,4,30894083,0R6NfOiLzLj4O5VbYSJAjf,3Me35AWHCGqW4sZ7bWWJt1,2023-11-30,False,75.0,corridos tumbados|corrido|corridos bélicos|sad sierreño|música mexicana|banda|sierreño,8657086.0,78.0,
