chart_week,rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams
2025-01-02,1,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,1,5,20,67757392
2025-01-02,2,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,1,7,11,61219314
2025-01-02,3,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,1,16,33,45331665
2025-01-02,4,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,4,15,11,44318028
2025-01-02,5,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,1,22,24,32417756
2025-01-02,6,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,1,36,38,30028747
2025-01-02,7,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),3,25,6,28563084
2025-01-02,8,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,7,32,20,25986304
2025-01-02,9,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),3,39,14,24723668
2025-01-02,10,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",6,54,38,24129791
2025-01-02,11,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,11,62,4,23312200
2025-01-02,12,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,9,41,33,22382462
2025-01-02,13,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,5,50,28,22200264
2025-01-02,14,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,3,60,19,21949780
2025-01-02,15,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,1,52,50,20978891
2025-01-02,16,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,5,74,60,18778220
2025-01-02,17,spotify:track:0LTwdL5yZ6YOTEGUQPFuSN,Tito Double P,ROSONES,17,57,4,18708714
2025-01-02,18,spotify:track:1cOboCuWYI2osTOfolMRS6,"Oscar Maydon, Fuerza Regida",Tu Boda,5,45,13,18540833
2025-01-02,19,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,17,68,7,18422966
2025-01-02,20,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,1,69,30,18319462
2025-01-02,21,spotify:track:7G7mSV4BebkoHWwKTDvXu9,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),21,65,5,18035385
2025-01-02,22,spotify:track:1YYfyJ2yCvGFCxwjsIqEK9,"Rauw Alejandro, Romeo Santos",Khé?,22,67,7,17649262
2025-01-02,23,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),23,71,11,17508625
2025-01-02,24,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),7,66,6,17040781
2025-01-02,25,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",3,70,65,16765544
2025-01-02,26,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),6,111,38,16617995
2025-01-02,27,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,15,83,115,16409117
2025-01-02,28,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,15,78,130,16116421
2025-01-02,29,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,23,89,134,16106687
2025-01-02,30,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),30,85,10,16090206
2025-01-02,31,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,2,97,41,16071426
2025-01-02,32,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,SZA,BMF,32,163,2,16034061
2025-01-02,33,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,33,88,5,16032957
2025-01-02,34,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,3,100,46,16031820
