artist_id,genres,followers,artist_popularity
2LRoIwlKmHjgvigdNGBHNo,reggaeton|urbano latino,19418229,88
46pWGuE3dSwY3bMMXGBvVS,afrobeats|afrobeat|afropop|afropiano,9490426,79
2RQXRUsr4IW1f3mKyKsy4B,,4619270,84
7iK8PXO48WeuP03g8YR51W,reggaeton|trap latino|urbano latino,22745294,87
06HL4z0CvFAxyc27GXpf02,,149529339,100
6HaGTQPmzraVmaVxvz6EUc,k-pop,19040560,82
2uYWxilOVlUdk4oV9DvwqK,,11283651,81
1McMsnEElThX1knmY4oliG,,50575213,87
6ltzsmQQbmdoHHbLZ4ZN25,,2256166,78
6KImCVD70vtIoJWnq6nGn3,,34480572,84
1r4hJ1h58CWwUQe3MxPuau,reggaeton|latin|urbano latino,39394438,86
6U3ybJ9UHNKEdsH7ktGBZ7,,2309341,76
1Cs0zKBU1kc0i8ypK3B9ai,edm,27421643,89
3JsHnjpbhX4SnySpvpa9DK,k-pop,20261423,78
3SozjO3Lat463tQICI9LcE,afrobeats,4144093,83
5YGY8feqx7naU7z4HrwZM6,,26918571,83
6M2wZ9GZgrQXHCFfjv46we,pop,47384859,88
40ZNYROS4zLfyyBSs2PGe2,country|red dirt,7600833,87
7Ln80lUS6He07XvHI8qqHH,indie|garage rock,32925225,87
33NVpKoXjItPwUJTMZIOiY,,2837965,73
5wCmhq5J2hPwL2r0eKurxn,hypertechno,96639,66
7tYKF4w9nC0nq9CsPZTHyP,r&b,34284030,90
6XkjpgcEsYab502Vr1bBeW,cumbia norteña|banda|norteño|música mexicana|corrido|corridos tumbados|grupera|tejano|ranchera,7839680,86
0jbo7KFNMiIkfBR6ih0yhm,,603171,65
45dkTj5sMRSjrmBSBeiHym,,9987007,91
3Me35AWHCGqW4sZ7bWWJt1,corridos tumbados|corrido|corridos bélicos|sad sierreño|música mexicana|banda|sierreño,8640060,77
12GqGscKJx3aE4t07u7eVZ,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|banda,25156321,92
6qqNVTkY8uBg9cP3Jd7DAH,,121714334,93
0ys2OFYzWYB5hRDLCsBqxt,corrido|corridos tumbados|corridos bélicos|música mexicana|sierreño|banda|sad sierreño|electro corridos,21991362,92
7uMDnSZyUYNBPLhPMNuaM2,,588603,63
5cj0lLjcoR7YOSnhnX0Po5,,35648054,88
1Xyo4u8uXC1ZmMpatF05PJ,,116773681,96
2LIk90788K0zvyj2JJVwkJ,,4430570,78
4q3ewBCX7sLwd24euuV69X,reggaeton|trap latino|urbano latino|latin,106272827,99
6dLuQ5qXxIuWc5urxfIiZR,corrido|corridos tumbados|corridos bélicos|electro corridos|sad sierreño,3113270,79
2hlmm7s2ICUX0LVIhVFlZQ,melodic rap,10852188,87
790FomKkXshlbRYZFtlgla,reggaeton|latin|urbano latino,61975455,89
3JhNCzhSMTxs9WLGJJxWOY,,2906402,77
2jzc5TC5TVFLXQlBNiIUzE,new wave|synthpop,3023651,75
4V8LLVI7PbaPR0K2TGSxFF,,25404193,88
66ihevNkSYNzRAl44dx6jJ,banda|norteño|sierreño|corrido|ranchera|grupera|sad sierreño,18021430,85
74KM79TiuVKeVCqs8QtB0B,pop,28616507,93
35oGZihZclGoTVuICPXRP9,reggaeton chileno|chilean mambo|chilean trap|mambo|rkt|reggaeton,3413466,77
0du5cEVh5yTK9QJze8zA0C,,77707208,92
5wJ1H6ud777odtZl5gG507,bollywood|hindi pop,10032393,78
6TYimByryGphZCtwYopH0y,sertanejo|sertanejo universitário,6009473,77
1QAJqy2dA3ihHBFIHRphZj,dream pop,18067006,86
0tmwSHipWxN12fsoLcFU3B,reggaeton|pop urbano|latin|colombian pop,16007554,83
33qOK5uJ8AR2xuQQAhHump,,6075537,86
1oSPZhvZMIrWW5I41kPkkY,k-pop,11065517,81
2txHhyCwHjUEpJjWrEyqyX,,4409348,79
0Y5tJX1MQlPlqiwlOH1tJY,rap,42180792,92
7dGJo4pcD2V6oG8kP0tJRR,rap|hip hop,106493772,91
4ClziihVpBeFXNyDH83Lde,,1070743,59
3TVXtAsR1Inumwj472S9r4,rap,105795730,98
0iEtIxbK0KxaSlF7G42ZOp,,12060490,86
5pKCCKE2ajJHZ9KAiaK11H,,70716815,93
246dkjvS1zLTtiykXe5h60,,48069612,88
10exVja0key0uqUkk6LJRT,folk pop,3534098,76
0XeEobZplHxzM9QzFQWLiR,corridos tumbados|sad sierreño|corrido|sierreño|música mexicana|corridos bélicos,6523079,77
3qvcCP2J0fWi0m0uQDUf6r,sertanejo|sertanejo universitário|arrocha,10357239,79
4GNC7GD6oZMSxPGyXy4MNB,soft pop,14252244,81
0IhzJFf4QBEz0ifqLwScKV,brazilian funk|trap funk,1441016,61
0C0XlULifJtAgn6ZNCW2eu,alternative rock,8169774,80
0hCNtLu0JehylgoiP8L4Gh,,34464401,87
5K4W6rqBFWDnAN6FQUkS6x,rap,31742328,92
4gzpq5DPGxSnKTe4SA8HAU,,62028307,91
3PhoLpVuITZKcymswpck5b,,15879491,85
77SW9BnxLY8rJ0RciFqkHh,,22272653,86
52iwsT98xCoGgiGntTiR7K,,6611223,84
5Pwc4xIPtQLFEnJriah9YJ,soft pop,18988267,84
6HvZYsbFfjnjFrWF950C9d,k-pop,12138612,80
2mLA48B366zkELXYx7hcDN,,1081321,65
2h93pZq0e7k5yf4dywlkpM,,21000620,86
4yvcSjfu4PC0CYQyLy4wSq,,4624782,76
4Ga1P7PMIsmqEZqhYZQgDo,melodic rap|rap,10438832,81
0Y6dVaC9DZtPNH4591M42W,,13264413,83
1U1el3k54VvEUzo3ybLPlM,,9829477,85
4dpARuHxo51G3z768sgnrY,soft pop,68127613,86
00FQb4jTyendYWaN8pK0wa,,53820851,91
53XhwfbYqKCa1cC15pYq2q,,58896135,87
2cBh5lVMg222FFuRU7EfDE,,582959,68
1mcTU81TzQhprhouKaTkpq,reggaeton|urbano latino|trap latino|latin,32180918,90
4SpbR6yFEvexJuaBpgAU5p,k-pop,8649380,82
4Uc8Dsxct0oMqx0P6i60ea,,12745021,81
1NNRWkhwmcXRimFYSBpB1y,reggaeton mexa|reggaeton|electro corridos|dembow belico,487432,69
5y8tKLUfMvliMe8IKamR32,,4824421,79
027TpXKGwdXP7iwbjUSpV8,,1095225,71
7Gi6gjaWy3DxyilpF1a8Is,corridos tumbados|corrido|corridos bélicos|sad sierreño|sierreño|música mexicana|banda,29840845,90
4yjm4SvYqC5FFuLbB6TyHr,reggaeton mexa|reggaeton,1811861,67
4gdMJYnopf2nEUcanAwstx,indian indie|hindi indie|hindi pop,9174206,76
5HeN1Iza4nZe03sFlonddz,electro corridos|dembow belico|corrido|corridos tumbados|corridos bélicos,200873,61
4bthk9UfsYUYdcFyqxmSUU,new wave|synthpop,4245172,77
6Sbl0NT50roqWvy746MfVf,corrido|corridos tumbados|corridos bélicos|música mexicana|sad sierreño|sierreño|electro corridos|banda,6496123,81
6Ip8FS7vWT1uKkJSweANQK,grime|uk grime|uk drill|drill,6895681,81
1uNFoZAHBGtllmzznpCI3s,,86290147,94
4oUHIQIBe0LHzYfvXNW4QM,country,14593145,90
2tIP7SsRs7vjIcLrU85W8J,,6748260,82
4YRxDV8wJFPHPTeXepOstw,hindi pop|bollywood|desi|bangla pop,170375066,93
5NGO30tJxFlKixkPSgXcFE,,7835264,81
5TcnuUD5MHBfd1cO4kweWD,electro corridos|dembow belico|corrido|corridos tumbados|corridos bélicos,255327,60
53A0W3U0s8diEn9RhXQhVz,,4007483,76
1r43wW70tnGUauQYvY5w48,hypertechno|techno,309436,69
6l3HvQ5sa6mXTsMTB19rO5,rap,27479866,85
35WVTyRnKAoaGExqgktVyb,,1138893,74
6XyY86QOPPrYVGvF9ch6wz,nu metal|rap metal|rock|alternative metal,32770542,90
1TtXnWcUs0FCkaZDPGYHdf,reggaeton|trap latino|dembow|urbano latino,4979687,77
2YZyLoL8N0Wb9xBt1NhZWg,hip hop|west coast hip hop,45859305,91
2jSGzJw0ebJLu7OLVSOcBP,reggaeton,6949091,81
57vWImR43h4CaDao012Ofp,,6672312,80
33ScadVnbm2X8kkUqOkC6Z,reggaeton|urbano latino,17075042,85
164Uj4eKjl6zTBKfJLFKKK,,6095806,78
4GJ6xDCF5jaUqD6avOuQT6,k-pop,2054164,66
540vIaP2JwjQb9dm3aArA4,,9433380,81
5WUlDfRSoLAfcVSX1WnrxN,,30852501,88
1vCWHaC5f2uS3yhpwWbIA6,edm,23530612,82
3IYUhFvPQItj6xySrBmZkd,classic rock|southern rock|country rock,8127907,80
4Z8W4fKeB5YxbusRsdQVPb,art rock|alternative rock,14713015,88
0LcJLqbBmaGUft1e9Mm8HV,,15344671,84
4zoRNhOhsGX3w8yBAnFSQ8,,260318,61
5lpH0xAS4fVfLkACg9DAuM,christmas,3237556,82
2WzaAvm2bBCf4pEhyuDgCY,,4576816,72
1yxSLGMDHlW21z4YXirZDS,,9873866,84
360IAlyVv4PCEVjgyMZrxK,r&b,6301907,81
6eUKZXaKkcviH0Ku9w2n3V,soft pop,124234441,90
2sil8z5kiy4r76CRTXxBCA,,3691355,78
5XKFrudbV4IiuE5WuTPRmT,,1949841,74
2jku7tDXc6XoB6MO2hFuqg,,8544408,82
2FXC3k01G6Gw61bmprjgqS,,9270929,84
0n4Fao9kbjgM76RmVlfSwr,reggae,688865,59
4IWBUUAFIplrNtaOHcJPRM,soft pop,21139051,81
22wbnEMDvgVIAGdFeek6ET,,7526560,85
66CXWjxzNUsdJxJ2JdwvnR,pop,108966677,95
4AK6F7OLvEQ5QYCBNiQWHq,,40578323,85
04gDigrS5kc9YWfZHwBETP,pop,46468560,88
7jVv8c5Fj3E9VhNjxT4snq,,12324177,74
08GQAI4eElDnROBrJRGE0X,classic rock|yacht rock|soft rock,14420725,86
1URnnhqYAYcrqrcwql10ft,,24528147,88
181bsRPaVXVlUKXrxwZfHK,,11131603,79
23fqKkggKUBHNkbKtXEls4,tropical house,8696443,78
69GGBxA162lTqCwzJG5jLp,,21537206,83
3LZZPxNDGDFVSIPqf4JuEf,,5011727,74
0pWR7TsFhvSCnbmHDjWgrE,anime|j-pop|j-rap,2220144,71
69bG9tC62d8oTFC9aTTosn,,662707,70
7o95ZoZt5ZYn31e9z1Hc0a,,1939486,74
31TPClRtHm23RisEBtV3X7,,16171032,84
716NhGYqD1jl2wI1Qkgq36,argentine trap|trap latino|urbano latino,18444040,82
5fi7lIgJGH3RgUpJYcffQ7,,683363,63
2IKdK6PbitvCiXt1t2bPU6,rkt|turreo|argentine trap|trap,607425,60
0FvHxb8a4I0A2i8jKCsFei,electro corridos|dembow belico|corrido|corridos tumbados|corridos bélicos|banda,385338,60
19HM5j0ULGSmEoRcrSe5x3,argentine trap,9887351,85
1TA5sGRlKUJXBN4ZyJuDIX,reggaeton|urbano latino,9598207,85
0elWFr7TW8piilVRYJUe4P,corridos tumbados|corrido|corridos bélicos|sierreño|sad sierreño|electro corridos|música mexicana|banda,22675012,86
3koiLjNrgRTNbOwViDipeA,motown|classic soul|soul|northern soul|quiet storm,6096392,76
08PvCOlef4xdOr20jFSTPd,,1622542,70
2sF5nNXnrrsCPZlt8ZpyGd,rage rap,828913,68
4qU7IJSReZnsLy5907Mtau,,331254,68
0XwVARXT135rw8lyw1EeWP,banda|ranchera|mariachi|norteño|música mexicana|grupera,16265565,80
1r3tpVQ08jFAA2P4xzV5o4,,164645,59
4j96cMcT8GRi11qbvo1cLQ,,284211,66
7CvTknweLr9feJtRGrpDBy,reggaeton chileno,2319887,78
06nvjg4wBANK6DCHjqtPNd,,1547130,60
7dzq55YG3wjViqexDwiycQ,axé|pagode baiano|mpb|brazilian pop,2226968,67
6vXTefBL93Dj5IqAWq6OTv,,5933167,76
3egWSWp7Y4FyCKIyvXbw7L,italian trap,3350029,65
7tjVFCxJdwT4NdrTmjyjQ6,,1033883,68
6C2mFGFh8dz1vKp9l5Ce8P,techengue|latin house|tech house,36113,52
718COspgdWOnwOFpJHRZHS,country,13663887,85
5iot8OPcosJN9nCl7I5SdK,concerto,2286955,66
27LlKWxS3KXW7RRAxN5S8s,canzone napoletana|concerto|italian trap|neomelodico,3483408,76
1bfl0AU8SqmLkElptOprhC,banda|norteño|grupera|corrido,11800021,83
2v5eqze59fqRes2e5QVGhf,pagode baiano|axé|pagode,552591,57
73jBynjsVtofjRpdpRAJGk,big room|electronica|edm,3610935,73
52N3KGrTWDRhdQJrgBTofE,,230282,66
0EqkKYDK9EkKY5N7zU3FPv,italo dance|concerto,1950875,68
2QsynagSdAqZj3U9HgDzjD,reggae|roots reggae,13542753,82
2RdwBSPQiwcmiDo9kixcl8,,5438132,81
0C8ZW7ezQVs4URX5aX7Kqx,,53641796,83
5wbf52LA6kcaboHSN6NEF1,brazilian funk|funk pop|funk carioca|brazilian pop|brega funk,3192687,78
6vWDO969PvNqNYHIOW5v0m,,41795440,86
4Gso3d4CscCijv0lmajZWs,,7881457,88
2EMAnMvWE2eb56ToJVfCWs,trap soul|r&b,10770843,81
1A6HBLulvBFzNtlMb7b08f,,570072,61
3qiHUAX7zY4Qnjx8TNUzVx,rage rap,6166077,82
5p9HO3XC5P3BLxJs5Mtrhm,,3523530,83
2x7PC78TmgqpEIjaGAZ0Oz,argentine trap,10042534,77
23zg3TcAtWQy7J6upgbUnj,r&b,14137150,83
4AKwRarlmsUlLjIwt38NLw,,690037,69
1ThoqLcyIYvZn7iWbj8fsj,soul,2060997,74
1mpOD8ZwHnbsryIuXWq0R1,turkish pop|turkish hip hop,2474799,65
11kt6ggsdxvI8MhyeSMKom,,451984,77
3l9G1G9MxH6DaRhwLklaf5,corrido|corridos tumbados|corridos bélicos|electro corridos|dembow belico|sad sierreño|sierreño,7708191,84
0jdNdfi4vAuVi7a6cPDFBM,italian trap|concerto,2783717,73
0PCCGZ0wGLizHt2KZ7hhA2,,1456184,77
1RyvyyTE3xzB2ZywiAwp0i,rap,23311597,91
7Ez6lTtSMjMf2YSYpukP1I,,436405,71
711MCceyCBcFnzjGY4Q7Un,rock|hard rock|classic rock|rock and roll,32931698,83
6s5ubAp65wXoTZefE01RNR,gabber|europop,963917,67
