track_id,track_name,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
3qhlB30KknSejmIvZZLjOD,End of Beginning,5p9HO3XC5P3BLxJs5Mtrhm,2022-09-16,False,100,,3926953,86
53iuhJlwXhSER5J2IYYv1W,The Fate of Ophelia,06HL4z0CvFAxyc27GXpf02,2025-10-03,False,99,,150343698,100
1qbmS6ep2hbBRaEZFpn7BX,Man I Need,00x1fYSGhdqScXBRpSj3DW,2025-08-15,False,97,pop soul,2724357,93
7qjZnBKE73H4Oxkopwulqe,back to friends,4G9NDjRyZFDlJKMRL8hx3S,2025-08-22,False,93,,3537054,87
1CPZ5BxNNd0n0nF4Orb9JS,Golden,2yNNYQBChuox9A5Ka93BIn,2025-06-20,False,98,,4982223,86
12bYYQaLqHliSXvRIYlq8G,I Just Might,0du5cEVh5yTK9QJze8zA0C,2026-01-09,False,92,,78309743,95
55lijDD6OAjLFFUHU9tcDm,WHERE IS MY HUSBAND!,5KKpBU5eC2tJDzf0wmlRp2,2025-09-19,False,96,,3346105,85
6sGIMrtIzQjdzNndVxe397,So Easy (To Fall In Love),00x1fYSGhdqScXBRpSj3DW,2025-09-26,False,96,pop soul,2724357,93
1rIKgCH4H52lrvDcz50hS8,Lush Life,1Xylc3o4UrD53lo9CvFvVg,2017-03-17,False,93,,11452372,85
2plbrEY59IikOBgBGLjaoe,Die With A Smile,1HY2Jd0NmPuamShAr6KMms,2024-08-16,False,92,art pop|pop,44207423,91
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,5NGO30tJxFlKixkPSgXcFE,1983-06-17,False,95,,7888511,81
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,0fTSzq9jAh4c36UVb4V7CB,2024-09-26,False,92,,3472705,86
2gYTC8DsplN3RNdpdBcCOQ,Die On This Hill,02gSuSAWEdWa5UOvqzjX6v,2025-10-10,False,92,,506221,79
0myRViRgmQ3J8izICXEAVO,I Thought I Saw Your Face Today,3CIRif6ZAedT7kZSPvj2A4,2008-03-18,False,93,christmas,563769,76
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,6qqNVTkY8uBg9cP3Jd7DAH,2024-05-17,False,95,,122190602,93
