artist_names,track_name
Tate McRae,greedy
Xavi,La Diabla
Jack Harlow,Lovin On Me
Taylor Swift,Cruel Summer
Mitski,My Love Mine All Mine
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)"
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.)
Doja Cat,Paint The Town Red
Xavi,La Víctima
"Peso Pluma, Anitta",BELLAKEO
Noah Kahan,Stick Season
Tyla,Water
Kenya Grace,Strangers
"Bad Bunny, Feid",PERRO NEGRO
"KAROL G, Peso Pluma",QLONA
Jung Kook,Standing Next to You
Arctic Monkeys,I Wanna Be Yours
"Feid, ATL Jacob",LUNA
"Calle 24, Chino Pacas, Fuerza Regida",Que Onda
"Fuerza Regida, Marshmello",HARLEY QUINN
"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series)
iñigo quintero,Si No Estás
Olivia Rodrigo,vampire
Doja Cat,Agora Hills
Harry Styles,As It Was
"The Weeknd, Daft Punk",Starboy
SZA,Kill Bill
Dua Lipa,Dance The Night - From Barbie The Album
David Kushner,Daylight
Miley Cyrus,Flowers
"Maluma, Carín León",Según Quién
"cassö, RAYE, D-Block Europe",Prada
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]"
Bad Bunny,MONACO
Dua Lipa,Houdini
"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate)
The Weeknd,Blinding Lights
"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE
Myke Towers,LALA
"David Guetta, Bebe Rexha",I'm Good (Blue)
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves)
"Jung Kook, Jack Harlow",3D (feat. Jack Harlow)
"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA
Lord Huron,The Night We Met
SZA,Snooze
The Weeknd,Die For You
"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA
V,Love Me Again
Gunna,fukumean
"Rema, Selena Gomez",Calm Down (with Selena Gomez)
The Neighbourhood,Sweater Weather
Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault)
Quevedo,Columbia
"Luan Santana, Ana Castela",DEJA VU
Tom Odell,Another Love
"Vishal Mishra, Raj Shekhar",Pehle Bhi Main
Teddy Swims,Lose Control
Jimin,Like Crazy
Carín León,Primera Cita
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis)
Taylor Swift,Anti-Hero
"Grupo Frontera, Bad Bunny",un x100to
"Drake, Yeat",IDGAF (feat. Yeat)
"UMI, V",wherever u r (ft. V of BTS)
Vance Joy,Riptide
Nicki Minaj,FTCU
Sabrina Carpenter,Feather
Taylor Swift,Lover
"Rihanna, Calvin Harris",We Found Love
Tate McRae,exes
Lauana Prado,Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse
"Eslabon Armado, Peso Pluma",Ella Baila Sola
OneRepublic,I Ain't Worried
Coldplay,Viva La Vida
Coldplay,Yellow
Travis Scott,I KNOW ?
"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage)
Jimin,Closer Than This
"Xavi, Los Dareyes De La Sierra",Poco A Poco
"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA)
Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes
Manuel Turizo,La Bachata
"Feid, Young Miko",CLASSY 101
Lewis Capaldi,Someone You Loved
"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton)
a-ha,Take on Me
Bruno Mars,Locked out of Heaven
Eminem,Without Me
Kanye West,Heartless
The Weeknd,Save Your Tears
OneRepublic,Counting Stars
"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti)
The Killers,Mr. Brightside
Cigarettes After Sex,Apocalypse
"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix
Taylor Swift,You’re Losing Me (From The Vault)
"Drake, Wizkid, Kyla",One Dance
"Jere Klein, Gittobeatz",ANDO
"Dj GBR, Mc IG, MC Ryan SP, MC PH, Mc Davi, Mc Luki, Mc Don Juan, Mc Kadu, TrapLaudo, MC GP, MC GH do 7",Let's Go 4
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber)
Anuv Jain,Husn
Eminem,Mockingbird
Rauw Alejandro,DILUVIO
Glass Animals,Heat Waves
"The Weeknd, Lana Del Rey",Stargirl Interlude
Keane,Somewhere Only We Know
Taylor Swift,cardigan
J. Cole,No Role Modelz
Junior H,Y LLORO
Frank Ocean,Pink + White
Taylor Swift,Don’t Blame Me
Sabrina Carpenter,Nonsense
d4vd,Romantic Homicide
Kali Uchis,Moonlight
"Drake, J. Cole",First Person Shooter (feat. J. Cole)
"Arijit Singh, Shreyas Puranik, Siddharth - Garima","Satranga (From ""ANIMAL"")"
Zach Bryan,Something in the Orange
LE SSERAFIM,Perfect Night
KAROL G,AMARGURA
"JC NO BEAT, DJ F7, MC Meno Dani, Silva Mc",Maria Mariah
"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA
"Bellakath, Dani Flow",Reggaeton Champagne
BENNETT,Vois sur ton chemin - Techno Mix
Tears For Fears,Everybody Wants To Rule The World
The Walters,I Love You So
Arctic Monkeys,Why'd You Only Call Me When You're High?
"Dave, Central Cee",Sprinter
The Police,Every Breath You Take
Lana Del Rey,Summertime Sadness
Eminem,The Real Slim Shady
Conan Gray,Heather
Hotel Ugly,Shut up My Moms Calling
Adele,Set Fire to the Rain
Justin Bieber,Ghost
TV Girl,Lovers Rock
"Billie Eilish, Khalid",lovely (with Khalid)
Arctic Monkeys,505
"Yng Lvcas, Peso Pluma",La Bebe - Remix
Peggy Gou,(It Goes Like) Nanana - Edit
Imagine Dragons,Demons
Kanye West,Father Stretch My Hands Pt. 1
Sophie Ellis-Bextor,Murder On The Dancefloor
"Kanye West, Dwele",Flashing Lights
"Peso Pluma, Tito Double P",LA PEOPLE
NewJeans,Super Shy
"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel, Los Esquivel",Alucin
"Xavi, Tony Aguirre",Modo DND
"Gabito Ballesteros, Natanael Cano",LOU LOU
Lil Tecca,500lbs
Morgan Wallen,Last Night
Travis Scott,MY EYES
Bruno Mars,Just the Way You Are
Taylor Swift,august
Black Eyed Peas,I Gotta Feeling
Bruno Mars,When I Was Your Man
"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD)
Creedence Clearwater Revival,Have You Ever Seen The Rain
Miley Cyrus,Party In The U.S.A.
Tory Lanez,The Color Violet
JVKE,golden hour
Hozier,Take Me To Church
Arctic Monkeys,Do I Wanna Know?
Ed Sheeran,Perfect
d4vd,Here With Me
Miguel,Sure Thing
KAROL G,MI EX TENÍA RAZÓN
Eminem,Lose Yourself
"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future)
Steve Lacy,Dark Red
The Weeknd,The Hills
Ruth B.,Dandelions
Paul Russell,Lil Boo Thang
"The Weeknd, Ariana Grande",Save Your Tears (Remix) (with Ariana Grande) - Bonus Track
Myke Towers,LA FALDA
"Grupo Frontera, Carín León",QUE VUELVAS
Avicii,Wake Me Up
Plan B,Es un Secreto
The Goo Goo Dolls,Iris
Darell,Lollipop
Taylor Swift,Blank Space
Adele,Skyfall
Linkin Park,In the End
"The Weeknd, Ariana Grande",Die For You (with Ariana Grande) - Remix
Imagine Dragons,Believer
"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug)
"Kanye West, Pusha T",Runaway
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)"
"Don Omar, Lucenzo",Danza Kuduro
"KAROL G, Shakira",TQG
ABBA,Dancing Queen
FIFTY FIFTY,Cupid - Twin Version
Wham!,Last Christmas - Single Version
Radiohead,Creep
"DJ Snake, Justin Bieber",Let Me Love You
"Kendrick Lamar, Jay Rock",Money Trees
Sia,Snowman
Lana Del Rey,Say Yes To Heaven
TV Girl,Not Allowed
"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version
Travis Scott,goosebumps
Fleetwood Mac,Dreams - 2004 Remaster
Rihanna,Diamonds
Fuerza Regida,CRAZYZ
Imagine Dragons,Bones
One Direction,Night Changes
Maroon 5,Maps
New West,Those Eyes
Natanael Cano,O Me Voy O Te Vas
"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage)
Bruno Mars,That's What I Like
Ariana Grande,"yes, and?"
21 Savage,redrum
