artist_names,track_name,track_id,artist_id
Tate McRae,greedy,3rUGC1vUpkDG9CZFHMur1t,45dkTj5sMRSjrmBSBeiHym
Xavi,La Diabla,0R6NfOiLzLj4O5VbYSJAjf,3Me35AWHCGqW4sZ7bWWJt1
Jack Harlow,Lovin On Me,4xhsWYTOGcal8zt0J161CU,2LIk90788K0zvyj2JJVwkJ
Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02
Mitski,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,2uYWxilOVlUdk4oV9DvwqK
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,1Xyo4u8uXC1ZmMpatF05PJ
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),2HRgqmZQC0MC7GeNuDIXHN,6HaGTQPmzraVmaVxvz6EUc
Doja Cat,Paint The Town Red,2IGMVunIBsBLtEQyoI1Mu7,5cj0lLjcoR7YOSnhnX0Po5
Xavi,La Víctima,4DE4Vc0MR8bQyEl3etLz7T,3Me35AWHCGqW4sZ7bWWJt1
"Peso Pluma, Anitta",BELLAKEO,05WVKTdZhlIMX4qqMLuo0f,12GqGscKJx3aE4t07u7eVZ
Noah Kahan,Stick Season,0mflMxspEfB0VbI1kyLiAv,2RQXRUsr4IW1f3mKyKsy4B
Tyla,Water,5aIVCx5tnk0ntmdiinnYvw,3SozjO3Lat463tQICI9LcE
Kenya Grace,Strangers,5mjYQaktjmjcMKcUIcqz4s,7uMDnSZyUYNBPLhPMNuaM2
"Bad Bunny, Feid",PERRO NEGRO,7iQXYTyuG13aoeHxGG28Nh,4q3ewBCX7sLwd24euuV69X
"KAROL G, Peso Pluma",QLONA,5RqSsdzTNPX1uzkmlHCFvK,790FomKkXshlbRYZFtlgla
Jung Kook,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,6HaGTQPmzraVmaVxvz6EUc
Arctic Monkeys,I Wanna Be Yours,5XeFesFbtLpXzIVDNQP22n,7Ln80lUS6He07XvHI8qqHH
"Feid, ATL Jacob",LUNA,7bywjHOc0wSjGGbj04XbVi,2LRoIwlKmHjgvigdNGBHNo
"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,6uIIdjYTxxpWOyWuVXrKQO,6dLuQ5qXxIuWc5urxfIiZR
"Fuerza Regida, Marshmello",HARLEY QUINN,6CvTEtGagmzQvkUzzyKR9k,0ys2OFYzWYB5hRDLCsBqxt
"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),6WzRpISELf3YglGAh7TXcG,1Xyo4u8uXC1ZmMpatF05PJ
iñigo quintero,Si No Estás,2HafqoJbgXdtjwCOvNEF14,0jbo7KFNMiIkfBR6ih0yhm
Olivia Rodrigo,vampire,1kuGVB7EU95pJObxwvfwKS,1McMsnEElThX1knmY4oliG
Doja Cat,Agora Hills,5PyDJG7SQRgWXefgexqIge,5cj0lLjcoR7YOSnhnX0Po5
Harry Styles,As It Was,4Dvkj6JhhA12EX05fT7y2e,6KImCVD70vtIoJWnq6nGn3
"The Weeknd, Daft Punk",Starboy,7MXVkk9YMctZqd1Srtv4MB,1Xyo4u8uXC1ZmMpatF05PJ
SZA,Kill Bill,3OHfY25tqY28d16oZczHc8,7tYKF4w9nC0nq9CsPZTHyP
Dua Lipa,Dance The Night - From Barbie The Album,1vYXt7VSjH9JIM5oRRo7vA,6M2wZ9GZgrQXHCFfjv46we
David Kushner,Daylight,5OGZ2Mx4Cs6RCndDRycGBJ,33NVpKoXjItPwUJTMZIOiY
Miley Cyrus,Flowers,7DSAEUvxU8FajXtRloy8M0,5YGY8feqx7naU7z4HrwZM6
"Maluma, Carín León",Según Quién,4bw8mcDUSRWfQo63ZTYRnU,1r4hJ1h58CWwUQe3MxPuau
"cassö, RAYE, D-Block Europe",Prada,59NraMJsLaMCVtwXTSia8i,5wCmhq5J2hPwL2r0eKurxn
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH
Bad Bunny,MONACO,4MjDJD8cW7iVeWInc2Bdyj,4q3ewBCX7sLwd24euuV69X
Dua Lipa,Houdini,5x9ElMtD3xy0verHZWOGqr,6M2wZ9GZgrQXHCFfjv46we
"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),1udwFobQ1JoOdWPQrp2b6u,6U3ybJ9UHNKEdsH7ktGBZ7
The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ
"Peso Pluma, Junior H, Oscar Maydon",ROMPE LA DOMPE,2OWv3lRR8PtOVuHWzQNRs2,12GqGscKJx3aE4t07u7eVZ
Myke Towers,LALA,7ABLbnD53cQK00mhcaOUVG,7iK8PXO48WeuP03g8YR51W
"David Guetta, Bebe Rexha",I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,1Cs0zKBU1kc0i8ypK3B9ai
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,40ZNYROS4zLfyyBSs2PGe2
"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),01qFKNWq73UfEslI0GvumE,6HaGTQPmzraVmaVxvz6EUc
"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,7mXuWTczZNxG5EDcjFEuJR,12GqGscKJx3aE4t07u7eVZ
Lord Huron,The Night We Met,3hRV0jL3vUpRrcy398teAU,6ltzsmQQbmdoHHbLZ4ZN25
SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2,7tYKF4w9nC0nq9CsPZTHyP
The Weeknd,Die For You,2LBqCSwhJGcFQeTHMVGwy3,1Xyo4u8uXC1ZmMpatF05PJ
"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,34vXRJ2bCSFiZKQzVUYVOb,6XkjpgcEsYab502Vr1bBeW
V,Love Me Again,2N0SPREDYqILVEFSsWF5N5,3JsHnjpbhX4SnySpvpa9DK
Gunna,fukumean,4rXLjWdF2ZZpXCVTfWcshS,2hlmm7s2ICUX0LVIhVFlZQ
"Rema, Selena Gomez",Calm Down (with Selena Gomez),0WtM2NBVQNNJLh6scP13H8,46pWGuE3dSwY3bMMXGBvVS
The Neighbourhood,Sweater Weather,2QjOHCTQ1Jl3zawyYOpxh6,77SW9BnxLY8rJ0RciFqkHh
Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),1Iq8oo9XkmmvCQiGOfORiz,06HL4z0CvFAxyc27GXpf02
Quevedo,Columbia,0uqt3MShCD4uYCIRNm6d4o,52iwsT98xCoGgiGntTiR7K
