chart_week,rank,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,track_id,artist_id,release_date,explicit,track_popularity,artist_genres,artist_followers,artist_popularity
2026-01-08,1,Djo,End of Beginning,Djo,1,3,99,55512432,3qhlB30KknSejmIvZZLjOD,5p9HO3XC5P3BLxJs5Mtrhm,2022-09-16,False,99.0,unknown,3789335.0,85.0
2026-01-08,2,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,1,14,43763624,53iuhJlwXhSER5J2IYYv1W,06HL4z0CvFAxyc27GXpf02,2025-10-03,False,100.0,unknown,149973500.0,100.0
2026-01-08,3,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,1,2,29,31279030,1CPZ5BxNNd0n0nF4Orb9JS,2yNNYQBChuox9A5Ka93BIn,2025-06-20,False,98.0,unknown,4889026.0,86.0
2026-01-08,4,Olivia Dean,Man I Need,PLG - Capitol,3,4,20,31033657,1qbmS6ep2hbBRaEZFpn7BX,00x1fYSGhdqScXBRpSj3DW,2025-08-15,False,97.0,pop soul,2651507.0,93.0
2026-01-08,5,sombr,back to friends,Warner Records,1,5,42,30217108,7qjZnBKE73H4Oxkopwulqe,4G9NDjRyZFDlJKMRL8hx3S,2025-08-22,False,93.0,unknown,3487254.0,86.0
2026-01-08,6,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,6,6,16,25711622,55lijDD6OAjLFFUHU9tcDm,5KKpBU5eC2tJDzf0wmlRp2,2025-09-19,False,96.0,unknown,3311782.0,85.0
2026-01-08,7,Olivia Dean,So Easy (To Fall In Love),PLG - Capitol,6,7,15,25390909,6sGIMrtIzQjdzNndVxe397,00x1fYSGhdqScXBRpSj3DW,2025-09-26,False,96.0,pop soul,2651507.0,93.0
2026-01-08,8,The Police,Every Breath You Take,Polydor Records,8,10,213,25306108,1JSTJqkT5qHq8MDJnJbRE1,5NGO30tJxFlKixkPSgXcFE,1983-06-17,False,95.0,unknown,7865309.0,81.0
2026-01-08,9,Alex Warren,Ordinary,Atlantic Records,1,8,48,23534858,2RkZ5LkEzeHGRsmDqKwmaJ,0fTSzq9jAh4c36UVb4V7CB,2024-09-26,False,92.0,unknown,3439039.0,86.0
2026-01-08,10,Zara Larsson,Lush Life,Epic/Record Company TEN,10,15,20,21593810,1rIKgCH4H52lrvDcz50hS8,1Xylc3o4UrD53lo9CvFvVg,2017-03-17,False,92.0,unknown,11378985.0,84.0
