chart_week,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
2026-01-08,1,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,1,3,99,55512432
2026-01-08,2,spotify:track:53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,Taylor Swift,1,1,14,43763624
2026-01-08,3,spotify:track:1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,K-Pop Demon Hunters,1,2,29,31279030
2026-01-08,4,spotify:track:1qbmS6ep2hbBRaEZFpn7BX,Olivia Dean,Man I Need,PLG - Capitol,3,4,20,31033657
2026-01-08,5,spotify:track:7qjZnBKE73H4Oxkopwulqe,sombr,back to friends,Warner Records,1,5,42,30217108
2026-01-08,6,spotify:track:55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,Human Re Sources,6,6,16,25711622
2026-01-08,7,spotify:track:6sGIMrtIzQjdzNndVxe397,Olivia Dean,So Easy (To Fall In Love),PLG - Capitol,6,7,15,25390909
2026-01-08,8,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,8,10,213,25306108
2026-01-08,9,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,1,8,48,23534858
2026-01-08,10,spotify:track:1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,Epic/Record Company TEN,10,15,20,21593810
2026-01-08,11,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,11,86,20232371
2026-01-08,12,spotify:track:4VxTzYm00mg82MuoT35Ja7,Tyla,CHANEL,Epic,9,9,8,20178377
2026-01-08,13,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,1,12,73,19518741
2026-01-08,14,spotify:track:0myRViRgmQ3J8izICXEAVO,She & Him,I Thought I Saw Your Face Today,Merge Records,14,26,5,18432798
2026-01-08,15,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,12,23,123,18212739
2026-01-08,16,spotify:track:21IYMdzTrzSe191Cy5eMap,Gigi Perez,Sailor Song,"Outtahere, LLC / Island Records",7,21,73,18106993
2026-01-08,17,spotify:track:1xOqGUkyxGQRdCvGpvWKmL,KATSEYE,Gabriela,HYBE/Geffen,10,14,29,18086120
2026-01-08,18,spotify:track:44xDy4h27s4ENaC8fKnCoC,"El Bogueto, Yung Beef",Cuando No Era Cantante,Candela Music,18,18,12,17646689
2026-01-08,19,spotify:track:3e32UUqXzrI4g2y5kNZrwC,"Peso Pluma, Tito Double P",dopamina,Double P Records,13,13,2,17548668
2026-01-08,20,spotify:track:1PtQJZVZIdWIYdARpZRDFO,Kate Bush,Running Up That Hill (A Deal With God),Fish People,1,28,40,17360128
2026-01-08,21,spotify:track:3cZajhyr8LmtPfHZ9296tj,"Disco Lines, Tinashe",No Broke Boys,Nice Life/Atlantic,13,17,28,17217886
2026-01-08,22,spotify:track:3yWuTOYDztXjZxdE2cIRUa,Taylor Swift,Opalite,Taylor Swift,2,20,14,16986747
2026-01-08,23,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,16,29,280,16539720
2026-01-08,24,spotify:track:4WFgvKVfEhb3IUAFGrutTR,Ravyn Lenae,Love Me Not,Atlantic Records,8,31,42,15690235
2026-01-08,25,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,19,53,15639375
2026-01-08,26,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,4,22,53,15582229
